filename,input_seq,target_seq
16659.png,"10,4,1,8,3","4,1,8,3,11"
16660.png,"10,8,4,6,1","8,4,6,1,11"
16661.png,"10,7,8,2,1","7,8,2,1,11"
16662.png,"10,6,4,4,5","6,4,4,5,11"
16663.png,"10,2,4,3,4","2,4,3,4,11"
16664.png,"10,8,8,5,5","8,8,5,5,11"
16665.png,"10,5,1,5,4","5,1,5,4,11"
16666.png,"10,8,2,0,8","8,2,0,8,11"
16667.png,"10,1,8,4,9","1,8,4,9,11"
16668.png,"10,0,3,5,0","0,3,5,0,11"
16669.png,"10,9,8,8,7","9,8,8,7,11"
16670.png,"10,6,5,9,0","6,5,9,0,11"
16671.png,"10,0,4,5,3","0,4,5,3,11"
16672.png,"10,2,4,6,7","2,4,6,7,11"
16673.png,"10,1,2,4,7","1,2,4,7,11"
16674.png,"10,9,2,6,6","9,2,6,6,11"
16675.png,"10,4,8,6,9","4,8,6,9,11"
16676.png,"10,3,1,1,1","3,1,1,1,11"
16677.png,"10,2,5,7,2","2,5,7,2,11"
16678.png,"10,6,7,8,1","6,7,8,1,11"
16679.png,"10,0,9,2,6","0,9,2,6,11"
16680.png,"10,2,7,2,4","2,7,2,4,11"
16681.png,"10,4,1,7,6","4,1,7,6,11"
16682.png,"10,6,5,8,6","6,5,8,6,11"
16683.png,"10,5,5,0,6","5,5,0,6,11"
16684.png,"10,9,0,5,3","9,0,5,3,11"
16685.png,"10,3,4,3,9","3,4,3,9,11"
16686.png,"10,9,2,1,0","9,2,1,0,11"
16687.png,"10,2,8,2,5","2,8,2,5,11"
16688.png,"10,4,7,6,5","4,7,6,5,11"
16689.png,"10,9,3,6,1","9,3,6,1,11"
16690.png,"10,9,2,2,2","9,2,2,2,11"
16691.png,"10,5,1,9,3","5,1,9,3,11"
16692.png,"10,3,5,9,9","3,5,9,9,11"
16693.png,"10,0,5,2,6","0,5,2,6,11"
16694.png,"10,8,5,5,6","8,5,5,6,11"
16695.png,"10,3,5,3,8","3,5,3,8,11"
16696.png,"10,5,7,6,6","5,7,6,6,11"
16697.png,"10,9,6,8,3","9,6,8,3,11"
16698.png,"10,6,7,0,4","6,7,0,4,11"
16699.png,"10,8,0,4,7","8,0,4,7,11"
16700.png,"10,6,8,4,4","6,8,4,4,11"
16701.png,"10,4,0,2,1","4,0,2,1,11"
16702.png,"10,6,2,3,0","6,2,3,0,11"
16703.png,"10,7,8,0,1","7,8,0,1,11"
16704.png,"10,0,6,0,0","0,6,0,0,11"
16705.png,"10,2,9,4,5","2,9,4,5,11"
16706.png,"10,0,3,1,6","0,3,1,6,11"
16707.png,"10,1,0,4,5","1,0,4,5,11"
16708.png,"10,9,9,3,8","9,9,3,8,11"
16709.png,"10,0,9,6,2","0,9,6,2,11"
16710.png,"10,0,0,6,1","0,0,6,1,11"
16711.png,"10,6,9,3,7","6,9,3,7,11"
16712.png,"10,9,3,3,5","9,3,3,5,11"
16713.png,"10,9,0,5,7","9,0,5,7,11"
16714.png,"10,4,6,6,9","4,6,6,9,11"
16715.png,"10,9,3,5,4","9,3,5,4,11"
16716.png,"10,3,1,9,2","3,1,9,2,11"
16717.png,"10,7,3,2,9","7,3,2,9,11"
16718.png,"10,9,6,6,2","9,6,6,2,11"
16719.png,"10,4,8,4,1","4,8,4,1,11"
16720.png,"10,3,3,0,8","3,3,0,8,11"
16721.png,"10,7,9,4,9","7,9,4,9,11"
16722.png,"10,9,8,5,0","9,8,5,0,11"
16723.png,"10,2,6,6,9","2,6,6,9,11"
16724.png,"10,4,7,5,5","4,7,5,5,11"
16725.png,"10,3,1,0,8","3,1,0,8,11"
16726.png,"10,7,0,2,8","7,0,2,8,11"
16727.png,"10,9,6,0,4","9,6,0,4,11"
16728.png,"10,8,8,0,3","8,8,0,3,11"
16729.png,"10,0,4,1,3","0,4,1,3,11"
16730.png,"10,8,5,8,9","8,5,8,9,11"
16731.png,"10,3,8,8,3","3,8,8,3,11"
16732.png,"10,9,7,1,7","9,7,1,7,11"
16733.png,"10,1,5,8,8","1,5,8,8,11"
16734.png,"10,1,8,1,0","1,8,1,0,11"
16735.png,"10,4,3,3,6","4,3,3,6,11"
16736.png,"10,8,4,4,5","8,4,4,5,11"
16737.png,"10,8,5,6,9","8,5,6,9,11"
16738.png,"10,9,7,2,4","9,7,2,4,11"
16739.png,"10,9,7,2,4","9,7,2,4,11"
16740.png,"10,9,9,7,5","9,9,7,5,11"
16741.png,"10,2,1,7,8","2,1,7,8,11"
16742.png,"10,0,5,3,6","0,5,3,6,11"
16743.png,"10,1,3,1,7","1,3,1,7,11"
16744.png,"10,0,4,0,0","0,4,0,0,11"
16745.png,"10,8,4,2,0","8,4,2,0,11"
16746.png,"10,5,0,5,8","5,0,5,8,11"
16747.png,"10,3,4,8,1","3,4,8,1,11"
16748.png,"10,2,7,9,1","2,7,9,1,11"
16749.png,"10,7,7,4,0","7,7,4,0,11"
16750.png,"10,3,0,2,9","3,0,2,9,11"
16751.png,"10,9,7,9,3","9,7,9,3,11"
16752.png,"10,7,6,3,2","7,6,3,2,11"
16753.png,"10,0,1,6,2","0,1,6,2,11"
16754.png,"10,3,3,8,0","3,3,8,0,11"
16755.png,"10,3,8,2,3","3,8,2,3,11"
16756.png,"10,2,7,9,8","2,7,9,8,11"
16757.png,"10,4,2,8,1","4,2,8,1,11"
16758.png,"10,6,3,7,8","6,3,7,8,11"
16759.png,"10,0,5,7,6","0,5,7,6,11"
16760.png,"10,0,4,6,7","0,4,6,7,11"
16761.png,"10,6,0,3,5","6,0,3,5,11"
16762.png,"10,8,6,4,8","8,6,4,8,11"
16763.png,"10,8,8,4,9","8,8,4,9,11"
16764.png,"10,3,5,0,0","3,5,0,0,11"
16765.png,"10,9,0,8,1","9,0,8,1,11"
16766.png,"10,0,8,8,3","0,8,8,3,11"
16767.png,"10,7,4,8,6","7,4,8,6,11"
16768.png,"10,6,7,9,7","6,7,9,7,11"
16769.png,"10,1,2,3,0","1,2,3,0,11"
16770.png,"10,9,1,3,5","9,1,3,5,11"
16771.png,"10,5,1,1,7","5,1,1,7,11"
16772.png,"10,8,8,0,2","8,8,0,2,11"
16773.png,"10,2,6,8,1","2,6,8,1,11"
16774.png,"10,2,3,9,1","2,3,9,1,11"
16775.png,"10,5,2,8,7","5,2,8,7,11"
16776.png,"10,9,8,3,4","9,8,3,4,11"
16777.png,"10,8,4,4,4","8,4,4,4,11"
16778.png,"10,5,2,4,4","5,2,4,4,11"
16779.png,"10,6,5,4,1","6,5,4,1,11"
16780.png,"10,1,2,3,4","1,2,3,4,11"
16781.png,"10,0,6,1,5","0,6,1,5,11"
16782.png,"10,6,3,0,4","6,3,0,4,11"
16783.png,"10,1,6,6,2","1,6,6,2,11"
16784.png,"10,1,4,2,1","1,4,2,1,11"
16785.png,"10,6,3,9,1","6,3,9,1,11"
16786.png,"10,5,8,1,4","5,8,1,4,11"
16787.png,"10,1,4,1,1","1,4,1,1,11"
16788.png,"10,2,6,3,3","2,6,3,3,11"
16789.png,"10,5,8,7,1","5,8,7,1,11"
16790.png,"10,3,1,1,5","3,1,1,5,11"
16791.png,"10,4,7,5,2","4,7,5,2,11"
16792.png,"10,6,8,3,8","6,8,3,8,11"
16793.png,"10,0,8,6,7","0,8,6,7,11"
16794.png,"10,0,9,9,8","0,9,9,8,11"
16795.png,"10,6,6,2,1","6,6,2,1,11"
16796.png,"10,9,1,1,1","9,1,1,1,11"
16797.png,"10,2,0,8,4","2,0,8,4,11"
16798.png,"10,9,6,6,3","9,6,6,3,11"
16799.png,"10,1,5,0,5","1,5,0,5,11"
16800.png,"10,4,6,9,8","4,6,9,8,11"
16801.png,"10,8,0,4,4","8,0,4,4,11"
16802.png,"10,3,4,7,0","3,4,7,0,11"
16803.png,"10,9,0,6,5","9,0,6,5,11"
16804.png,"10,5,5,4,1","5,5,4,1,11"
16805.png,"10,6,7,9,7","6,7,9,7,11"
16806.png,"10,5,7,6,6","5,7,6,6,11"
16807.png,"10,8,0,9,0","8,0,9,0,11"
16808.png,"10,1,9,0,5","1,9,0,5,11"
16809.png,"10,3,1,2,7","3,1,2,7,11"
16810.png,"10,2,7,7,4","2,7,7,4,11"
16811.png,"10,4,3,2,6","4,3,2,6,11"
16812.png,"10,0,5,6,8","0,5,6,8,11"
16813.png,"10,6,6,0,9","6,6,0,9,11"
16814.png,"10,5,1,2,2","5,1,2,2,11"
16815.png,"10,1,9,0,0","1,9,0,0,11"
16816.png,"10,7,2,1,6","7,2,1,6,11"
16817.png,"10,2,0,8,2","2,0,8,2,11"
16818.png,"10,3,2,3,9","3,2,3,9,11"
16819.png,"10,5,6,9,7","5,6,9,7,11"
16820.png,"10,1,3,1,7","1,3,1,7,11"
16821.png,"10,2,2,3,4","2,2,3,4,11"
16822.png,"10,8,9,4,9","8,9,4,9,11"
16823.png,"10,0,4,7,2","0,4,7,2,11"
16824.png,"10,0,0,4,6","0,0,4,6,11"
16825.png,"10,7,6,4,1","7,6,4,1,11"
16826.png,"10,9,1,2,1","9,1,2,1,11"
16827.png,"10,4,7,0,0","4,7,0,0,11"
16828.png,"10,0,0,2,4","0,0,2,4,11"
16829.png,"10,6,9,9,4","6,9,9,4,11"
16830.png,"10,0,2,4,2","0,2,4,2,11"
16831.png,"10,1,6,7,5","1,6,7,5,11"
16832.png,"10,5,9,5,9","5,9,5,9,11"
16833.png,"10,5,5,1,9","5,5,1,9,11"
16834.png,"10,4,1,1,5","4,1,1,5,11"
16835.png,"10,6,7,4,9","6,7,4,9,11"
16836.png,"10,9,8,5,0","9,8,5,0,11"
16837.png,"10,1,6,6,1","1,6,6,1,11"
16838.png,"10,2,5,8,7","2,5,8,7,11"
16839.png,"10,9,3,9,6","9,3,9,6,11"
16840.png,"10,8,6,7,3","8,6,7,3,11"
16841.png,"10,3,9,8,1","3,9,8,1,11"
16842.png,"10,9,8,6,0","9,8,6,0,11"
16843.png,"10,4,4,3,8","4,4,3,8,11"
16844.png,"10,7,3,3,1","7,3,3,1,11"
16845.png,"10,6,3,6,6","6,3,6,6,11"
16846.png,"10,3,4,8,1","3,4,8,1,11"
16847.png,"10,4,1,2,0","4,1,2,0,11"
16848.png,"10,8,2,0,3","8,2,0,3,11"
16849.png,"10,1,9,3,8","1,9,3,8,11"
16850.png,"10,8,3,6,2","8,3,6,2,11"
16851.png,"10,1,3,7,1","1,3,7,1,11"
16852.png,"10,0,8,0,3","0,8,0,3,11"
16853.png,"10,5,7,5,1","5,7,5,1,11"
16854.png,"10,3,1,4,9","3,1,4,9,11"
16855.png,"10,5,3,1,3","5,3,1,3,11"
16856.png,"10,5,1,0,3","5,1,0,3,11"
16857.png,"10,3,6,0,2","3,6,0,2,11"
16858.png,"10,6,5,7,6","6,5,7,6,11"
16859.png,"10,3,6,3,5","3,6,3,5,11"
16860.png,"10,8,5,2,7","8,5,2,7,11"
16861.png,"10,0,5,5,2","0,5,5,2,11"
16862.png,"10,5,3,4,9","5,3,4,9,11"
16863.png,"10,7,5,5,7","7,5,5,7,11"
16864.png,"10,0,2,6,0","0,2,6,0,11"
16865.png,"10,4,3,7,8","4,3,7,8,11"
16866.png,"10,3,5,0,6","3,5,0,6,11"
16867.png,"10,5,6,8,3","5,6,8,3,11"
16868.png,"10,2,9,7,8","2,9,7,8,11"
16869.png,"10,8,3,1,9","8,3,1,9,11"
16870.png,"10,4,0,1,0","4,0,1,0,11"
16871.png,"10,7,2,5,8","7,2,5,8,11"
16872.png,"10,7,8,0,4","7,8,0,4,11"
16873.png,"10,1,7,3,2","1,7,3,2,11"
16874.png,"10,7,5,2,4","7,5,2,4,11"
16875.png,"10,7,7,9,5","7,7,9,5,11"
16876.png,"10,3,9,8,1","3,9,8,1,11"
16877.png,"10,3,1,8,4","3,1,8,4,11"
16878.png,"10,0,7,0,4","0,7,0,4,11"
16879.png,"10,1,6,8,6","1,6,8,6,11"
16880.png,"10,5,8,6,1","5,8,6,1,11"
16881.png,"10,1,0,9,6","1,0,9,6,11"
16882.png,"10,0,7,2,1","0,7,2,1,11"
16883.png,"10,6,9,8,0","6,9,8,0,11"
16884.png,"10,9,3,8,8","9,3,8,8,11"
16885.png,"10,6,7,8,1","6,7,8,1,11"
16886.png,"10,6,7,5,9","6,7,5,9,11"
16887.png,"10,3,6,3,2","3,6,3,2,11"
16888.png,"10,5,9,2,3","5,9,2,3,11"
16889.png,"10,4,9,0,8","4,9,0,8,11"
16890.png,"10,4,1,4,1","4,1,4,1,11"
16891.png,"10,6,4,3,8","6,4,3,8,11"
16892.png,"10,9,2,7,1","9,2,7,1,11"
16893.png,"10,3,4,0,7","3,4,0,7,11"
16894.png,"10,1,1,8,1","1,1,8,1,11"
16895.png,"10,3,6,8,1","3,6,8,1,11"
16896.png,"10,0,7,3,3","0,7,3,3,11"
16897.png,"10,9,1,6,8","9,1,6,8,11"
16898.png,"10,2,6,9,6","2,6,9,6,11"
16899.png,"10,6,0,3,4","6,0,3,4,11"
16900.png,"10,2,9,4,9","2,9,4,9,11"
16901.png,"10,3,4,5,2","3,4,5,2,11"
16902.png,"10,6,7,3,6","6,7,3,6,11"
16903.png,"10,5,2,6,6","5,2,6,6,11"
16904.png,"10,1,6,7,5","1,6,7,5,11"
16905.png,"10,4,4,0,6","4,4,0,6,11"
16906.png,"10,6,9,2,3","6,9,2,3,11"
16907.png,"10,6,0,3,3","6,0,3,3,11"
16908.png,"10,2,8,0,7","2,8,0,7,11"
16909.png,"10,7,2,1,9","7,2,1,9,11"
16910.png,"10,8,9,5,4","8,9,5,4,11"
16911.png,"10,6,4,7,2","6,4,7,2,11"
16912.png,"10,1,8,1,5","1,8,1,5,11"
16913.png,"10,9,7,5,9","9,7,5,9,11"
16914.png,"10,5,0,0,0","5,0,0,0,11"
16915.png,"10,5,4,8,6","5,4,8,6,11"
16916.png,"10,1,7,3,2","1,7,3,2,11"
16917.png,"10,1,5,4,2","1,5,4,2,11"
16918.png,"10,9,2,4,0","9,2,4,0,11"
16919.png,"10,1,9,5,7","1,9,5,7,11"
16920.png,"10,4,5,4,0","4,5,4,0,11"
16921.png,"10,9,3,5,8","9,3,5,8,11"
16922.png,"10,0,9,1,8","0,9,1,8,11"
16923.png,"10,9,9,8,4","9,9,8,4,11"
16924.png,"10,2,6,4,4","2,6,4,4,11"
16925.png,"10,2,9,4,7","2,9,4,7,11"
16926.png,"10,5,7,2,8","5,7,2,8,11"
16927.png,"10,1,6,7,7","1,6,7,7,11"
16928.png,"10,2,8,3,2","2,8,3,2,11"
16929.png,"10,7,0,6,2","7,0,6,2,11"
16930.png,"10,8,9,4,2","8,9,4,2,11"
16931.png,"10,5,0,2,9","5,0,2,9,11"
16932.png,"10,6,9,7,5","6,9,7,5,11"
16933.png,"10,2,7,7,4","2,7,7,4,11"
16934.png,"10,4,3,4,8","4,3,4,8,11"
16935.png,"10,4,8,6,4","4,8,6,4,11"
16936.png,"10,9,9,8,3","9,9,8,3,11"
16937.png,"10,8,9,6,0","8,9,6,0,11"
16938.png,"10,0,1,1,7","0,1,1,7,11"
16939.png,"10,4,1,2,2","4,1,2,2,11"
16940.png,"10,8,6,2,2","8,6,2,2,11"
16941.png,"10,7,1,5,8","7,1,5,8,11"
16942.png,"10,1,1,8,2","1,1,8,2,11"
16943.png,"10,5,7,2,9","5,7,2,9,11"
16944.png,"10,4,5,8,0","4,5,8,0,11"
16945.png,"10,8,1,3,5","8,1,3,5,11"
16946.png,"10,8,8,5,4","8,8,5,4,11"
16947.png,"10,4,1,6,2","4,1,6,2,11"
16948.png,"10,2,3,7,1","2,3,7,1,11"
16949.png,"10,1,7,2,1","1,7,2,1,11"
16950.png,"10,5,7,1,5","5,7,1,5,11"
16951.png,"10,7,2,3,8","7,2,3,8,11"
16952.png,"10,3,3,0,8","3,3,0,8,11"
16953.png,"10,8,4,5,1","8,4,5,1,11"
16954.png,"10,1,8,2,2","1,8,2,2,11"
16955.png,"10,2,3,9,0","2,3,9,0,11"
16956.png,"10,2,1,9,6","2,1,9,6,11"
16957.png,"10,7,5,3,4","7,5,3,4,11"
16958.png,"10,7,8,7,6","7,8,7,6,11"
16959.png,"10,7,7,1,0","7,7,1,0,11"
16960.png,"10,9,4,1,8","9,4,1,8,11"
16961.png,"10,9,3,1,1","9,3,1,1,11"
16962.png,"10,1,1,4,4","1,1,4,4,11"
16963.png,"10,2,4,5,3","2,4,5,3,11"
16964.png,"10,5,9,5,6","5,9,5,6,11"
16965.png,"10,4,9,5,6","4,9,5,6,11"
16966.png,"10,7,3,0,1","7,3,0,1,11"
16967.png,"10,5,5,0,9","5,5,0,9,11"
16968.png,"10,1,8,9,3","1,8,9,3,11"
16969.png,"10,3,0,0,4","3,0,0,4,11"
16970.png,"10,3,4,8,5","3,4,8,5,11"
16971.png,"10,3,0,7,2","3,0,7,2,11"
16972.png,"10,1,7,1,4","1,7,1,4,11"
16973.png,"10,1,2,6,3","1,2,6,3,11"
16974.png,"10,7,5,5,7","7,5,5,7,11"
16975.png,"10,7,8,3,6","7,8,3,6,11"
16976.png,"10,9,1,8,0","9,1,8,0,11"
16977.png,"10,4,8,4,7","4,8,4,7,11"
16978.png,"10,2,1,2,5","2,1,2,5,11"
16979.png,"10,0,0,6,3","0,0,6,3,11"
16980.png,"10,9,5,8,4","9,5,8,4,11"
16981.png,"10,9,4,5,9","9,4,5,9,11"
16982.png,"10,0,3,9,9","0,3,9,9,11"
16983.png,"10,2,8,8,7","2,8,8,7,11"
16984.png,"10,9,7,0,3","9,7,0,3,11"
16985.png,"10,8,9,6,0","8,9,6,0,11"
16986.png,"10,5,4,1,7","5,4,1,7,11"
16987.png,"10,4,9,0,4","4,9,0,4,11"
16988.png,"10,7,7,6,1","7,7,6,1,11"
16989.png,"10,1,5,0,0","1,5,0,0,11"
16990.png,"10,3,1,0,2","3,1,0,2,11"
16991.png,"10,8,6,3,7","8,6,3,7,11"
16992.png,"10,7,7,0,5","7,7,0,5,11"
16993.png,"10,6,8,9,4","6,8,9,4,11"
16994.png,"10,8,6,9,5","8,6,9,5,11"
16995.png,"10,6,0,3,4","6,0,3,4,11"
16996.png,"10,5,3,5,8","5,3,5,8,11"
16997.png,"10,8,5,6,7","8,5,6,7,11"
16998.png,"10,0,3,1,3","0,3,1,3,11"
16999.png,"10,4,0,0,0","4,0,0,0,11"
17000.png,"10,4,1,2,6","4,1,2,6,11"
17001.png,"10,2,5,3,7","2,5,3,7,11"
17002.png,"10,4,9,4,9","4,9,4,9,11"
17003.png,"10,1,2,8,2","1,2,8,2,11"
17004.png,"10,0,9,1,1","0,9,1,1,11"
17005.png,"10,1,8,8,8","1,8,8,8,11"
17006.png,"10,6,2,6,5","6,2,6,5,11"
17007.png,"10,0,4,3,0","0,4,3,0,11"
17008.png,"10,7,3,1,8","7,3,1,8,11"
17009.png,"10,7,9,8,1","7,9,8,1,11"
17010.png,"10,0,9,7,3","0,9,7,3,11"
17011.png,"10,4,7,6,2","4,7,6,2,11"
17012.png,"10,5,4,5,1","5,4,5,1,11"
17013.png,"10,8,4,2,7","8,4,2,7,11"
17014.png,"10,6,5,8,4","6,5,8,4,11"
17015.png,"10,9,7,6,0","9,7,6,0,11"
17016.png,"10,5,9,5,5","5,9,5,5,11"
17017.png,"10,7,6,3,8","7,6,3,8,11"
17018.png,"10,0,2,9,4","0,2,9,4,11"
17019.png,"10,3,5,9,3","3,5,9,3,11"
17020.png,"10,6,1,3,0","6,1,3,0,11"
17021.png,"10,2,4,5,6","2,4,5,6,11"
17022.png,"10,1,7,7,7","1,7,7,7,11"
17023.png,"10,7,0,5,2","7,0,5,2,11"
17024.png,"10,0,6,2,0","0,6,2,0,11"
17025.png,"10,4,7,8,2","4,7,8,2,11"
17026.png,"10,4,2,9,5","4,2,9,5,11"
17027.png,"10,4,7,0,9","4,7,0,9,11"
17028.png,"10,8,2,9,1","8,2,9,1,11"
17029.png,"10,1,6,2,8","1,6,2,8,11"
17030.png,"10,9,2,0,7","9,2,0,7,11"
17031.png,"10,3,9,7,8","3,9,7,8,11"
17032.png,"10,1,7,7,6","1,7,7,6,11"
17033.png,"10,4,0,1,8","4,0,1,8,11"
17034.png,"10,3,9,9,3","3,9,9,3,11"
17035.png,"10,8,6,2,8","8,6,2,8,11"
17036.png,"10,2,9,7,2","2,9,7,2,11"
17037.png,"10,6,7,4,7","6,7,4,7,11"
17038.png,"10,1,9,2,6","1,9,2,6,11"
17039.png,"10,7,5,6,6","7,5,6,6,11"
17040.png,"10,3,9,7,4","3,9,7,4,11"
17041.png,"10,5,3,4,4","5,3,4,4,11"
17042.png,"10,0,9,3,2","0,9,3,2,11"
17043.png,"10,5,9,4,0","5,9,4,0,11"
17044.png,"10,2,0,7,6","2,0,7,6,11"
17045.png,"10,6,2,1,1","6,2,1,1,11"
17046.png,"10,5,7,8,1","5,7,8,1,11"
17047.png,"10,2,3,6,5","2,3,6,5,11"
17048.png,"10,1,8,9,8","1,8,9,8,11"
17049.png,"10,4,2,0,3","4,2,0,3,11"
17050.png,"10,7,6,8,9","7,6,8,9,11"
17051.png,"10,8,8,2,1","8,8,2,1,11"
17052.png,"10,3,8,7,2","3,8,7,2,11"
17053.png,"10,3,5,9,9","3,5,9,9,11"
17054.png,"10,0,2,8,1","0,2,8,1,11"
17055.png,"10,1,9,4,7","1,9,4,7,11"
17056.png,"10,6,9,6,9","6,9,6,9,11"
17057.png,"10,1,0,5,1","1,0,5,1,11"
17058.png,"10,6,9,1,5","6,9,1,5,11"
17059.png,"10,3,2,4,2","3,2,4,2,11"
17060.png,"10,8,0,4,7","8,0,4,7,11"
17061.png,"10,3,1,7,2","3,1,7,2,11"
17062.png,"10,2,4,6,3","2,4,6,3,11"
17063.png,"10,7,9,0,1","7,9,0,1,11"
17064.png,"10,7,4,7,1","7,4,7,1,11"
17065.png,"10,2,5,1,8","2,5,1,8,11"
17066.png,"10,6,6,9,6","6,6,9,6,11"
17067.png,"10,1,3,8,5","1,3,8,5,11"
17068.png,"10,1,2,7,9","1,2,7,9,11"
17069.png,"10,5,2,3,2","5,2,3,2,11"
17070.png,"10,1,7,7,2","1,7,7,2,11"
17071.png,"10,7,1,7,9","7,1,7,9,11"
17072.png,"10,9,4,4,6","9,4,4,6,11"
17073.png,"10,9,4,0,3","9,4,0,3,11"
17074.png,"10,6,3,1,8","6,3,1,8,11"
17075.png,"10,4,5,5,0","4,5,5,0,11"
17076.png,"10,6,9,9,3","6,9,9,3,11"
17077.png,"10,0,9,5,1","0,9,5,1,11"
17078.png,"10,8,4,9,7","8,4,9,7,11"
17079.png,"10,0,5,8,8","0,5,8,8,11"
17080.png,"10,1,3,5,0","1,3,5,0,11"
17081.png,"10,5,7,3,4","5,7,3,4,11"
17082.png,"10,6,2,9,1","6,2,9,1,11"
17083.png,"10,7,9,0,9","7,9,0,9,11"
17084.png,"10,8,7,6,9","8,7,6,9,11"
17085.png,"10,5,1,3,6","5,1,3,6,11"
17086.png,"10,5,3,1,9","5,3,1,9,11"
17087.png,"10,6,3,8,6","6,3,8,6,11"
17088.png,"10,8,2,1,1","8,2,1,1,11"
17089.png,"10,5,2,1,2","5,2,1,2,11"
17090.png,"10,8,3,3,8","8,3,3,8,11"
17091.png,"10,4,4,5,2","4,4,5,2,11"
17092.png,"10,2,8,0,1","2,8,0,1,11"
17093.png,"10,6,2,8,1","6,2,8,1,11"
17094.png,"10,7,7,8,0","7,7,8,0,11"
17095.png,"10,2,6,3,9","2,6,3,9,11"
17096.png,"10,2,0,9,3","2,0,9,3,11"
17097.png,"10,5,3,8,1","5,3,8,1,11"
17098.png,"10,3,7,1,5","3,7,1,5,11"
17099.png,"10,3,8,0,4","3,8,0,4,11"
17100.png,"10,8,6,0,0","8,6,0,0,11"
17101.png,"10,7,3,1,3","7,3,1,3,11"
17102.png,"10,6,2,7,0","6,2,7,0,11"
17103.png,"10,0,5,6,7","0,5,6,7,11"
17104.png,"10,4,5,1,0","4,5,1,0,11"
17105.png,"10,6,7,5,2","6,7,5,2,11"
17106.png,"10,5,7,9,1","5,7,9,1,11"
17107.png,"10,6,7,4,2","6,7,4,2,11"
17108.png,"10,3,2,0,0","3,2,0,0,11"
17109.png,"10,6,6,7,1","6,6,7,1,11"
17110.png,"10,3,8,6,0","3,8,6,0,11"
17111.png,"10,8,0,6,5","8,0,6,5,11"
17112.png,"10,9,9,9,6","9,9,9,6,11"
17113.png,"10,9,8,9,5","9,8,9,5,11"
17114.png,"10,4,8,6,3","4,8,6,3,11"
17115.png,"10,5,5,9,1","5,5,9,1,11"
17116.png,"10,1,0,8,9","1,0,8,9,11"
17117.png,"10,7,8,7,0","7,8,7,0,11"
17118.png,"10,6,7,6,7","6,7,6,7,11"
17119.png,"10,8,0,9,6","8,0,9,6,11"
17120.png,"10,6,4,3,7","6,4,3,7,11"
17121.png,"10,9,1,6,8","9,1,6,8,11"
17122.png,"10,9,4,5,2","9,4,5,2,11"
17123.png,"10,2,4,1,2","2,4,1,2,11"
17124.png,"10,6,1,3,3","6,1,3,3,11"
17125.png,"10,4,1,9,5","4,1,9,5,11"
17126.png,"10,9,4,3,4","9,4,3,4,11"
17127.png,"10,9,6,9,9","9,6,9,9,11"
17128.png,"10,3,8,2,6","3,8,2,6,11"
17129.png,"10,7,0,4,8","7,0,4,8,11"
17130.png,"10,7,7,7,4","7,7,7,4,11"
17131.png,"10,3,9,3,6","3,9,3,6,11"
17132.png,"10,2,1,5,8","2,1,5,8,11"
17133.png,"10,4,9,7,8","4,9,7,8,11"
17134.png,"10,1,3,0,1","1,3,0,1,11"
17135.png,"10,8,3,3,4","8,3,3,4,11"
17136.png,"10,7,7,6,1","7,7,6,1,11"
17137.png,"10,7,5,1,7","7,5,1,7,11"
17138.png,"10,7,7,7,8","7,7,7,8,11"
17139.png,"10,8,0,3,1","8,0,3,1,11"
17140.png,"10,5,8,3,8","5,8,3,8,11"
17141.png,"10,7,0,0,6","7,0,0,6,11"
17142.png,"10,3,1,6,0","3,1,6,0,11"
17143.png,"10,5,9,5,0","5,9,5,0,11"
17144.png,"10,6,6,0,5","6,6,0,5,11"
17145.png,"10,5,8,3,7","5,8,3,7,11"
17146.png,"10,2,0,4,2","2,0,4,2,11"
17147.png,"10,5,7,0,9","5,7,0,9,11"
17148.png,"10,1,6,9,3","1,6,9,3,11"
17149.png,"10,0,3,3,9","0,3,3,9,11"
17150.png,"10,1,8,4,8","1,8,4,8,11"
17151.png,"10,3,0,7,1","3,0,7,1,11"
17152.png,"10,4,9,2,5","4,9,2,5,11"
17153.png,"10,3,0,8,7","3,0,8,7,11"
17154.png,"10,2,8,1,4","2,8,1,4,11"
17155.png,"10,7,6,0,6","7,6,0,6,11"
17156.png,"10,5,7,5,1","5,7,5,1,11"
17157.png,"10,6,6,5,8","6,6,5,8,11"
17158.png,"10,3,0,4,8","3,0,4,8,11"
17159.png,"10,6,6,0,5","6,6,0,5,11"
17160.png,"10,7,9,4,5","7,9,4,5,11"
17161.png,"10,1,1,1,0","1,1,1,0,11"
17162.png,"10,4,6,9,8","4,6,9,8,11"
17163.png,"10,4,1,1,2","4,1,1,2,11"
17164.png,"10,2,0,6,7","2,0,6,7,11"
17165.png,"10,4,9,5,6","4,9,5,6,11"
17166.png,"10,5,6,6,1","5,6,6,1,11"
17167.png,"10,8,5,2,4","8,5,2,4,11"
17168.png,"10,7,7,8,4","7,7,8,4,11"
17169.png,"10,2,4,2,0","2,4,2,0,11"
17170.png,"10,4,4,8,3","4,4,8,3,11"
17171.png,"10,2,5,4,0","2,5,4,0,11"
17172.png,"10,9,8,5,3","9,8,5,3,11"
17173.png,"10,4,3,9,4","4,3,9,4,11"
17174.png,"10,6,5,3,8","6,5,3,8,11"
17175.png,"10,9,0,1,0","9,0,1,0,11"
17176.png,"10,2,0,3,7","2,0,3,7,11"
